region,year,sex,age_gr,population
belgium,2004,Both,0 to 9,1161446
belgium,2004,Both,10 to 19,1247010
belgium,2004,Both,100 and over,1163
belgium,2004,Both,20 to 29,1297045
belgium,2004,Both,30 to 39,1521035
belgium,2004,Both,40 to 49,1567997
belgium,2004,Both,50 to 59,1333597
belgium,2004,Both,60 to 69,982138
belgium,2004,Both,70 to 79,857516
belgium,2004,Both,80 to 89,365778
belgium,2004,Both,90 to 99,61696
belgium,2004,Both,Overall,10396421
belgium,2004,Female,0 to 9,567931
belgium,2004,Female,10 to 19,609955
belgium,2004,Female,100 and over,1037
belgium,2004,Female,20 to 29,642828
belgium,2004,Female,30 to 39,750417
belgium,2004,Female,40 to 49,777777
belgium,2004,Female,50 to 59,665690
belgium,2004,Female,60 to 69,511891
belgium,2004,Female,70 to 79,491161
belgium,2004,Female,80 to 89,241999
belgium,2004,Female,90 to 99,48559
belgium,2004,Female,Overall,5309245
belgium,2004,Male,0 to 9,593515
belgium,2004,Male,10 to 19,637055
belgium,2004,Male,100 and over,126
belgium,2004,Male,20 to 29,654217
belgium,2004,Male,30 to 39,770618
belgium,2004,Male,40 to 49,790220
belgium,2004,Male,50 to 59,667907
belgium,2004,Male,60 to 69,470247
belgium,2004,Male,70 to 79,366355
belgium,2004,Male,80 to 89,123779
belgium,2004,Male,90 to 99,13137
belgium,2004,Male,Overall,5087176
belgium,2005,Both,0 to 9,1163973
belgium,2005,Both,10 to 19,1250068
belgium,2005,Both,100 and over,1247
belgium,2005,Both,20 to 29,1297527
belgium,2005,Both,30 to 39,1493216
belgium,2005,Both,40 to 49,1587454
belgium,2005,Both,50 to 59,1359978
belgium,2005,Both,60 to 69,988127
belgium,2005,Both,70 to 79,857857
belgium,2005,Both,80 to 89,382605
belgium,2005,Both,90 to 99,63800
belgium,2005,Both,Overall,10445852
belgium,2005,Female,0 to 9,569233
belgium,2005,Female,10 to 19,611120
belgium,2005,Female,100 and over,1104
belgium,2005,Female,20 to 29,644373
belgium,2005,Female,30 to 39,737322
belgium,2005,Female,40 to 49,787333
belgium,2005,Female,50 to 59,679168
belgium,2005,Female,60 to 69,513773
belgium,2005,Female,70 to 79,489603
belgium,2005,Female,80 to 89,251522
belgium,2005,Female,90 to 99,49976
belgium,2005,Female,Overall,5334527
belgium,2005,Male,0 to 9,594740
belgium,2005,Male,10 to 19,638948
belgium,2005,Male,100 and over,143
belgium,2005,Male,20 to 29,653154
belgium,2005,Male,30 to 39,755894
belgium,2005,Male,40 to 49,800121
belgium,2005,Male,50 to 59,680810
belgium,2005,Male,60 to 69,474354
belgium,2005,Male,70 to 79,368254
belgium,2005,Male,80 to 89,131083
belgium,2005,Male,90 to 99,13824
belgium,2005,Male,Overall,5111325
belgium,2006,Both,0 to 9,1172371
belgium,2006,Both,10 to 19,1256335
belgium,2006,Both,100 and over,1298
belgium,2006,Both,20 to 29,1304933
belgium,2006,Both,30 to 39,1470215
belgium,2006,Both,40 to 49,1601081
belgium,2006,Both,50 to 59,1389094
belgium,2006,Both,60 to 69,996162
belgium,2006,Both,70 to 79,855339
belgium,2006,Both,80 to 89,401714
belgium,2006,Both,90 to 99,62840
belgium,2006,Both,Overall,10511382
belgium,2006,Female,0 to 9,573234
belgium,2006,Female,10 to 19,614221
belgium,2006,Female,100 and over,1148
belgium,2006,Female,20 to 29,649455
belgium,2006,Female,30 to 39,726824
belgium,2006,Female,40 to 49,793339
belgium,2006,Female,50 to 59,694108
belgium,2006,Female,60 to 69,516949
belgium,2006,Female,70 to 79,486392
belgium,2006,Female,80 to 89,262814
belgium,2006,Female,90 to 99,49077
belgium,2006,Female,Overall,5367561
belgium,2006,Male,0 to 9,599137
belgium,2006,Male,10 to 19,642114
belgium,2006,Male,100 and over,150
belgium,2006,Male,20 to 29,655478
belgium,2006,Male,30 to 39,743391
belgium,2006,Male,40 to 49,807742
belgium,2006,Male,50 to 59,694986
belgium,2006,Male,60 to 69,479213
belgium,2006,Male,70 to 79,368947
belgium,2006,Male,80 to 89,138900
belgium,2006,Male,90 to 99,13763
belgium,2006,Male,Overall,5143821
belgium,2007,Both,0 to 9,1182016
belgium,2007,Both,10 to 19,1259113
belgium,2007,Both,100 and over,1338
belgium,2007,Both,20 to 29,1315495
belgium,2007,Both,30 to 39,1454378
belgium,2007,Both,40 to 49,1609926
belgium,2007,Both,50 to 59,1400657
belgium,2007,Both,60 to 69,1024656
belgium,2007,Both,70 to 79,854654
belgium,2007,Both,80 to 89,422032
belgium,2007,Both,90 to 99,60269
belgium,2007,Both,Overall,10584534
belgium,2007,Female,0 to 9,578016
belgium,2007,Female,10 to 19,616125
belgium,2007,Female,100 and over,1187
belgium,2007,Female,20 to 29,655345
belgium,2007,Female,30 to 39,719066
belgium,2007,Female,40 to 49,796910
belgium,2007,Female,50 to 59,700399
belgium,2007,Female,60 to 69,529980
belgium,2007,Female,70 to 79,483806
belgium,2007,Female,80 to 89,275331
belgium,2007,Female,90 to 99,46961
belgium,2007,Female,Overall,5403126
belgium,2007,Male,0 to 9,604000
belgium,2007,Male,10 to 19,642988
belgium,2007,Male,100 and over,151
belgium,2007,Male,20 to 29,660150
belgium,2007,Male,30 to 39,735312
belgium,2007,Male,40 to 49,813016
belgium,2007,Male,50 to 59,700258
belgium,2007,Male,60 to 69,494676
belgium,2007,Male,70 to 79,370848
belgium,2007,Male,80 to 89,146701
belgium,2007,Male,90 to 99,13308
belgium,2007,Male,Overall,5181408
belgium,2008,Both,0 to 9,1190836
belgium,2008,Both,10 to 19,1261934
belgium,2008,Both,100 and over,1381
belgium,2008,Both,20 to 29,1326708
belgium,2008,Both,30 to 39,1448511
belgium,2008,Both,40 to 49,1613781
belgium,2008,Both,50 to 59,1416253
belgium,2008,Both,60 to 69,1050837
belgium,2008,Both,70 to 79,856793
belgium,2008,Both,80 to 89,442476
belgium,2008,Both,90 to 99,57356
belgium,2008,Both,Overall,10666866
belgium,2008,Female,0 to 9,582269
belgium,2008,Female,10 to 19,617545
belgium,2008,Female,100 and over,1237
belgium,2008,Female,20 to 29,661349
belgium,2008,Female,30 to 39,716898
belgium,2008,Female,40 to 49,797933
belgium,2008,Female,50 to 59,708031
belgium,2008,Female,60 to 69,542418
belgium,2008,Female,70 to 79,482633
belgium,2008,Female,80 to 89,287616
belgium,2008,Female,90 to 99,44628
belgium,2008,Female,Overall,5442557
belgium,2008,Male,0 to 9,608567
belgium,2008,Male,10 to 19,644389
belgium,2008,Male,100 and over,144
belgium,2008,Male,20 to 29,665359
belgium,2008,Male,30 to 39,731613
belgium,2008,Male,40 to 49,815848
belgium,2008,Male,50 to 59,708222
belgium,2008,Male,60 to 69,508419
belgium,2008,Male,70 to 79,374160
belgium,2008,Male,80 to 89,154860
belgium,2008,Male,90 to 99,12728
belgium,2008,Male,Overall,5224309
belgium,2009,Both,0 to 9,1208538
belgium,2009,Both,10 to 19,1260384
belgium,2009,Both,100 and over,1479
belgium,2009,Both,20 to 29,1341726
belgium,2009,Both,30 to 39,1445884
belgium,2009,Both,40 to 49,1612375
belgium,2009,Both,50 to 59,1433568
belgium,2009,Both,60 to 69,1074092
belgium,2009,Both,70 to 79,859804
belgium,2009,Both,80 to 89,460626
belgium,2009,Both,90 to 99,54604
belgium,2009,Both,Overall,10753080
belgium,2009,Female,0 to 9,590766
belgium,2009,Female,10 to 19,616834
belgium,2009,Female,100 and over,1308
belgium,2009,Female,20 to 29,669359
belgium,2009,Female,30 to 39,716031
belgium,2009,Female,40 to 49,796981
belgium,2009,Female,50 to 59,716609
belgium,2009,Female,60 to 69,553233
belgium,2009,Female,70 to 79,482221
belgium,2009,Female,80 to 89,298685
belgium,2009,Female,90 to 99,42402
belgium,2009,Female,Overall,5484429
belgium,2009,Male,0 to 9,617772
belgium,2009,Male,10 to 19,643550
belgium,2009,Male,100 and over,171
belgium,2009,Male,20 to 29,672367
belgium,2009,Male,30 to 39,729853
belgium,2009,Male,40 to 49,815394
belgium,2009,Male,50 to 59,716959
belgium,2009,Male,60 to 69,520859
belgium,2009,Male,70 to 79,377583
belgium,2009,Male,80 to 89,161941
belgium,2009,Male,90 to 99,12202
belgium,2009,Male,Overall,5268651
belgium,2010,Both,0 to 9,1225240
belgium,2010,Both,10 to 19,1257626
belgium,2010,Both,100 and over,1559
belgium,2010,Both,20 to 29,1352427
belgium,2010,Both,30 to 39,1445782
belgium,2010,Both,40 to 49,1609821
belgium,2010,Both,50 to 59,1456978
belgium,2010,Both,60 to 69,1098017
belgium,2010,Both,70 to 79,860866
belgium,2010,Both,80 to 89,473841
belgium,2010,Both,90 to 99,57748
belgium,2010,Both,Overall,10839905
belgium,2010,Female,0 to 9,598614
belgium,2010,Female,10 to 19,615618
belgium,2010,Female,100 and over,1373
belgium,2010,Female,20 to 29,675624
belgium,2010,Female,30 to 39,716572
belgium,2010,Female,40 to 49,795172
belgium,2010,Female,50 to 59,729334
belgium,2010,Female,60 to 69,563898
belgium,2010,Female,70 to 79,480991
belgium,2010,Female,80 to 89,306166
belgium,2010,Female,90 to 99,44322
belgium,2010,Female,Overall,5527684
belgium,2010,Male,0 to 9,626626
belgium,2010,Male,10 to 19,642008
belgium,2010,Male,100 and over,186
belgium,2010,Male,20 to 29,676803
belgium,2010,Male,30 to 39,729210
belgium,2010,Male,40 to 49,814649
belgium,2010,Male,50 to 59,727644
belgium,2010,Male,60 to 69,534119
belgium,2010,Male,70 to 79,379875
belgium,2010,Male,80 to 89,167675
belgium,2010,Male,90 to 99,13426
belgium,2010,Male,Overall,5312221
belgium,2011,Both,0 to 9,1245019
belgium,2011,Both,10 to 19,1256272
belgium,2011,Both,100 and over,1630
belgium,2011,Both,20 to 29,1370600
belgium,2011,Both,30 to 39,1451692
belgium,2011,Both,40 to 49,1612806
belgium,2011,Both,50 to 59,1481562
belgium,2011,Both,60 to 69,1130545
belgium,2011,Both,70 to 79,849790
belgium,2011,Both,80 to 89,485252
belgium,2011,Both,90 to 99,66098
belgium,2011,Both,Overall,10951266
belgium,2011,Female,0 to 9,608315
belgium,2011,Female,10 to 19,615091
belgium,2011,Female,100 and over,1432
belgium,2011,Female,20 to 29,684380
belgium,2011,Female,30 to 39,719722
belgium,2011,Female,40 to 49,795984
belgium,2011,Female,50 to 59,741416
belgium,2011,Female,60 to 69,579900
belgium,2011,Female,70 to 79,472938
belgium,2011,Female,80 to 89,311708
belgium,2011,Female,90 to 99,50146
belgium,2011,Female,Overall,5581032
belgium,2011,Male,0 to 9,636704
belgium,2011,Male,10 to 19,641181
belgium,2011,Male,100 and over,198
belgium,2011,Male,20 to 29,686220
belgium,2011,Male,30 to 39,731970
belgium,2011,Male,40 to 49,816822
belgium,2011,Male,50 to 59,740146
