region,year,sex,age_gr,population
belgium,2004,Both,0 to 9,2322892
belgium,2004,Female,0 to 9,1135862
belgium,2004,Male,0 to 9,1187030
belgium,2004,Both,10 to 19,2494020
belgium,2004,Female,10 to 19,1219910
belgium,2004,Male,10 to 19,1274110
belgium,2004,Both,100 and over,2326
belgium,2004,Female,100 and over,2074
belgium,2004,Male,100 and over,252
belgium,2004,Both,20 to 29,2594090
belgium,2004,Female,20 to 29,1285656
belgium,2004,Male,20 to 29,1308434
belgium,2004,Both,30 to 39,3042070
belgium,2004,Female,30 to 39,1500834
belgium,2004,Male,30 to 39,1541236
belgium,2004,Both,40 to 49,3135994
belgium,2004,Female,40 to 49,1555554
belgium,2004,Male,40 to 49,1580440
belgium,2004,Both,50 to 59,2667194
belgium,2004,Female,50 to 59,1331380
belgium,2004,Male,50 to 59,1335814
belgium,2004,Both,60 to 69,1964276
belgium,2004,Female,60 to 69,1023782
belgium,2004,Male,60 to 69,940494
belgium,2004,Both,70 to 79,1715032
belgium,2004,Female,70 to 79,982322
belgium,2004,Male,70 to 79,732710
belgium,2004,Both,80 to 89,731556
belgium,2004,Female,80 to 89,483998
belgium,2004,Male,80 to 89,247558
belgium,2004,Both,90 to 99,123392
belgium,2004,Female,90 to 99,97118
belgium,2004,Male,90 to 99,26274
belgium,2005,Both,0 to 9,2327946
belgium,2005,Female,0 to 9,1138466
belgium,2005,Male,0 to 9,1189480
belgium,2005,Both,10 to 19,2500136
belgium,2005,Female,10 to 19,1222240
belgium,2005,Male,10 to 19,1277896
belgium,2005,Both,100 and over,2494
belgium,2005,Female,100 and over,2208
belgium,2005,Male,100 and over,286
belgium,2005,Both,20 to 29,2595054
belgium,2005,Female,20 to 29,1288746
belgium,2005,Male,20 to 29,1306308
belgium,2005,Both,30 to 39,2986432
belgium,2005,Female,30 to 39,1474644
belgium,2005,Male,30 to 39,1511788
belgium,2005,Both,40 to 49,3174908
belgium,2005,Female,40 to 49,1574666
belgium,2005,Male,40 to 49,1600242
belgium,2005,Both,50 to 59,2719956
belgium,2005,Female,50 to 59,1358336
belgium,2005,Male,50 to 59,1361620
belgium,2005,Both,60 to 69,1976254
belgium,2005,Female,60 to 69,1027546
belgium,2005,Male,60 to 69,948708
belgium,2005,Both,70 to 79,1715714
belgium,2005,Female,70 to 79,979206
belgium,2005,Male,70 to 79,736508
belgium,2005,Both,80 to 89,765210
belgium,2005,Female,80 to 89,503044
belgium,2005,Male,80 to 89,262166
belgium,2005,Both,90 to 99,127600
belgium,2005,Female,90 to 99,99952
belgium,2005,Male,90 to 99,27648
belgium,2006,Both,0 to 9,2344742
belgium,2006,Female,0 to 9,1146468
belgium,2006,Male,0 to 9,1198274
belgium,2006,Both,10 to 19,2512670
belgium,2006,Female,10 to 19,1228442
belgium,2006,Male,10 to 19,1284228
belgium,2006,Both,100 and over,2596
belgium,2006,Female,100 and over,2296
belgium,2006,Male,100 and over,300
belgium,2006,Both,20 to 29,2609866
belgium,2006,Female,20 to 29,1298910
belgium,2006,Male,20 to 29,1310956
belgium,2006,Both,30 to 39,2940430
belgium,2006,Female,30 to 39,1453648
belgium,2006,Male,30 to 39,1486782
belgium,2006,Both,40 to 49,3202162
belgium,2006,Female,40 to 49,1586678
belgium,2006,Male,40 to 49,1615484
belgium,2006,Both,50 to 59,2778188
belgium,2006,Female,50 to 59,1388216
belgium,2006,Male,50 to 59,1389972
belgium,2006,Both,60 to 69,1992324
belgium,2006,Female,60 to 69,1033898
belgium,2006,Male,60 to 69,958426
belgium,2006,Both,70 to 79,1710678
belgium,2006,Female,70 to 79,972784
belgium,2006,Male,70 to 79,737894
belgium,2006,Both,80 to 89,803428
belgium,2006,Female,80 to 89,525628
belgium,2006,Male,80 to 89,277800
belgium,2006,Both,90 to 99,125680
belgium,2006,Female,90 to 99,98154
belgium,2006,Male,90 to 99,27526
belgium,2007,Both,0 to 9,2364032
belgium,2007,Female,0 to 9,1156032
belgium,2007,Male,0 to 9,1208000
belgium,2007,Both,10 to 19,2518226
belgium,2007,Female,10 to 19,1232250
belgium,2007,Male,10 to 19,1285976
belgium,2007,Both,100 and over,2676
belgium,2007,Female,100 and over,2374
belgium,2007,Male,100 and over,302
belgium,2007,Both,20 to 29,2630990
belgium,2007,Female,20 to 29,1310690
belgium,2007,Male,20 to 29,1320300
belgium,2007,Both,30 to 39,2908756
belgium,2007,Female,30 to 39,1438132
belgium,2007,Male,30 to 39,1470624
belgium,2007,Both,40 to 49,3219852
belgium,2007,Female,40 to 49,1593820
belgium,2007,Male,40 to 49,1626032
belgium,2007,Both,50 to 59,2801314
belgium,2007,Female,50 to 59,1400798
belgium,2007,Male,50 to 59,1400516
belgium,2007,Both,60 to 69,2049312
belgium,2007,Female,60 to 69,1059960
belgium,2007,Male,60 to 69,989352
belgium,2007,Both,70 to 79,1709308
belgium,2007,Female,70 to 79,967612
belgium,2007,Male,70 to 79,741696
belgium,2007,Both,80 to 89,844064
belgium,2007,Female,80 to 89,550662
belgium,2007,Male,80 to 89,293402
belgium,2007,Both,90 to 99,120538
belgium,2007,Female,90 to 99,93922
belgium,2007,Male,90 to 99,26616
belgium,2008,Both,0 to 9,2381672
belgium,2008,Female,0 to 9,1164538
belgium,2008,Male,0 to 9,1217134
belgium,2008,Both,10 to 19,2523868
belgium,2008,Female,10 to 19,1235090
belgium,2008,Male,10 to 19,1288778
belgium,2008,Both,100 and over,2762
belgium,2008,Female,100 and over,2474
belgium,2008,Male,100 and over,288
belgium,2008,Both,20 to 29,2653416
belgium,2008,Female,20 to 29,1322698
belgium,2008,Male,20 to 29,1330718
belgium,2008,Both,30 to 39,2897022
belgium,2008,Female,30 to 39,1433796
belgium,2008,Male,30 to 39,1463226
belgium,2008,Both,40 to 49,3227562
belgium,2008,Female,40 to 49,1595866
belgium,2008,Male,40 to 49,1631696
belgium,2008,Both,50 to 59,2832506
belgium,2008,Female,50 to 59,1416062
belgium,2008,Male,50 to 59,1416444
belgium,2008,Both,60 to 69,2101674
belgium,2008,Female,60 to 69,1084836
belgium,2008,Male,60 to 69,1016838
belgium,2008,Both,70 to 79,1713586
belgium,2008,Female,70 to 79,965266
belgium,2008,Male,70 to 79,748320
belgium,2008,Both,80 to 89,884952
belgium,2008,Female,80 to 89,575232
belgium,2008,Male,80 to 89,309720
belgium,2008,Both,90 to 99,114712
belgium,2008,Female,90 to 99,89256
belgium,2008,Male,90 to 99,25456
belgium,2009,Both,0 to 9,2417076
belgium,2009,Female,0 to 9,1181532
belgium,2009,Male,0 to 9,1235544
belgium,2009,Both,10 to 19,2520768
belgium,2009,Female,10 to 19,1233668
belgium,2009,Male,10 to 19,1287100
belgium,2009,Both,100 and over,2958
belgium,2009,Female,100 and over,2616
belgium,2009,Male,100 and over,342
belgium,2009,Both,20 to 29,2683452
belgium,2009,Female,20 to 29,1338718
belgium,2009,Male,20 to 29,1344734
belgium,2009,Both,30 to 39,2891768
belgium,2009,Female,30 to 39,1432062
belgium,2009,Male,30 to 39,1459706
belgium,2009,Both,40 to 49,3224750
belgium,2009,Female,40 to 49,1593962
belgium,2009,Male,40 to 49,1630788
belgium,2009,Both,50 to 59,2867136
belgium,2009,Female,50 to 59,1433218
belgium,2009,Male,50 to 59,1433918
belgium,2009,Both,60 to 69,2148184
belgium,2009,Female,60 to 69,1106466
belgium,2009,Male,60 to 69,1041718
belgium,2009,Both,70 to 79,1719608
belgium,2009,Female,70 to 79,964442
belgium,2009,Male,70 to 79,755166
belgium,2009,Both,80 to 89,921252
belgium,2009,Female,80 to 89,597370
belgium,2009,Male,80 to 89,323882
belgium,2009,Both,90 to 99,109208
belgium,2009,Female,90 to 99,84804
belgium,2009,Male,90 to 99,24404
belgium,2010,Both,0 to 9,2450480
belgium,2010,Female,0 to 9,1197228
belgium,2010,Male,0 to 9,1253252
belgium,2010,Both,10 to 19,2515252
belgium,2010,Female,10 to 19,1231236
belgium,2010,Male,10 to 19,1284016
belgium,2010,Both,100 and over,3118
belgium,2010,Female,100 and over,2746
belgium,2010,Male,100 and over,372
belgium,2010,Both,20 to 29,2704854
belgium,2010,Female,20 to 29,1351248
belgium,2010,Male,20 to 29,1353606
belgium,2010,Both,30 to 39,2891564
belgium,2010,Female,30 to 39,1433144
belgium,2010,Male,30 to 39,1458420
belgium,2010,Both,40 to 49,3219642
belgium,2010,Female,40 to 49,1590344
belgium,2010,Male,40 to 49,1629298
belgium,2010,Both,50 to 59,2913956
belgium,2010,Female,50 to 59,1458668
belgium,2010,Male,50 to 59,1455288
belgium,2010,Both,60 to 69,2196034
belgium,2010,Female,60 to 69,1127796
belgium,2010,Male,60 to 69,1068238
belgium,2010,Both,70 to 79,1721732
belgium,2010,Female,70 to 79,961982
belgium,2010,Male,70 to 79,759750
belgium,2010,Both,80 to 89,947682
belgium,2010,Female,80 to 89,612332
belgium,2010,Male,80 to 89,335350
belgium,2010,Both,90 to 99,115496
belgium,2010,Female,90 to 99,88644
belgium,2010,Male,90 to 99,26852
belgium,2011,Both,0 to 9,2490038
belgium,2011,Female,0 to 9,1216630
belgium,2011,Male,0 to 9,1273408
belgium,2011,Both,10 to 19,2512544
