region,years,sex,age_gr,population
netherlands,2000,Both,0 to 9,1889619.5
netherlands,2000,Both,10 to 19,1904552.5
netherlands,2000,Both,100 and over,0
netherlands,2000,Both,20 to 29,2071583
netherlands,2000,Both,30 to 39,2641855.5
netherlands,2000,Both,40 to 49,2378822.5
netherlands,2000,Both,50 to 59,2061609.5
netherlands,2000,Both,60 to 69,1395358
netherlands,2000,Both,70 to 79,1032344
netherlands,2000,Both,80 to 89,469521
netherlands,2000,Both,90 to 99,64676.5
netherlands,2000,Both,Overall,15909942
netherlands,2000,Female,0 to 9,922786
netherlands,2000,Female,10 to 19,930106
netherlands,2000,Female,100 and over,0
netherlands,2000,Female,20 to 29,1024821.5
netherlands,2000,Female,30 to 39,1294601
netherlands,2000,Female,40 to 49,1174016
netherlands,2000,Female,50 to 59,1014181.5
netherlands,2000,Female,60 to 69,714565.5
netherlands,2000,Female,70 to 79,592806
netherlands,2000,Female,80 to 89,316654
netherlands,2000,Female,90 to 99,50255
netherlands,2000,Female,Overall,8034792.5
netherlands,2000,Male,0 to 9,966833.5
netherlands,2000,Male,10 to 19,974446.5
netherlands,2000,Male,100 and over,0
netherlands,2000,Male,20 to 29,1046761.5
netherlands,2000,Male,30 to 39,1347254.5
netherlands,2000,Male,40 to 49,1204806.5
netherlands,2000,Male,50 to 59,1047428
netherlands,2000,Male,60 to 69,680792.5
netherlands,2000,Male,70 to 79,439538
netherlands,2000,Male,80 to 89,152867
netherlands,2000,Male,90 to 99,14421.5
netherlands,2000,Male,Overall,7875149.5
netherlands,2001,Both,0 to 9,1898762.5
netherlands,2001,Both,10 to 19,1930126.5
netherlands,2001,Both,100 and over,0
netherlands,2001,Both,20 to 29,2031287
netherlands,2001,Both,30 to 39,2640181
netherlands,2001,Both,40 to 49,2416165.5
netherlands,2001,Both,50 to 59,2115756.5
netherlands,2001,Both,60 to 69,1411396.5
netherlands,2001,Both,70 to 79,1037516.5
netherlands,2001,Both,80 to 89,483482
netherlands,2001,Both,90 to 99,65423.5
netherlands,2001,Both,Overall,16030097.5
netherlands,2001,Female,0 to 9,927200
netherlands,2001,Female,10 to 19,941912
netherlands,2001,Female,100 and over,0
netherlands,2001,Female,20 to 29,1005986.5
netherlands,2001,Female,30 to 39,1294542.5
netherlands,2001,Female,40 to 49,1193151.5
netherlands,2001,Female,50 to 59,1041699
netherlands,2001,Female,60 to 69,719857
netherlands,2001,Female,70 to 79,592363.5
netherlands,2001,Female,80 to 89,324725.5
netherlands,2001,Female,90 to 99,50705
netherlands,2001,Female,Overall,8092142.5
netherlands,2001,Male,0 to 9,971562.5
netherlands,2001,Male,10 to 19,988214.5
netherlands,2001,Male,100 and over,0
netherlands,2001,Male,20 to 29,1025300.5
netherlands,2001,Male,30 to 39,1345638.5
netherlands,2001,Male,40 to 49,1223014
netherlands,2001,Male,50 to 59,1074057.5
netherlands,2001,Male,60 to 69,691539.5
netherlands,2001,Male,70 to 79,445153
netherlands,2001,Male,80 to 89,158756.5
netherlands,2001,Male,90 to 99,14718.5
netherlands,2001,Male,Overall,7937955
netherlands,2002,Both,0 to 9,1904983
netherlands,2002,Both,10 to 19,1956392
netherlands,2002,Both,100 and over,0
netherlands,2002,Both,20 to 29,1996255.5
netherlands,2002,Both,30 to 39,2620747
netherlands,2002,Both,40 to 49,2446709.5
netherlands,2002,Both,50 to 59,2168258.5
netherlands,2002,Both,60 to 69,1432000
netherlands,2002,Both,70 to 79,1045024.5
netherlands,2002,Both,80 to 89,495121.5
netherlands,2002,Both,90 to 99,66995
netherlands,2002,Both,Overall,16132486.5
netherlands,2002,Female,0 to 9,930418.5
netherlands,2002,Female,10 to 19,954479
netherlands,2002,Female,100 and over,0
netherlands,2002,Female,20 to 29,988419
netherlands,2002,Female,30 to 39,1287405.5
netherlands,2002,Female,40 to 49,1208754
netherlands,2002,Female,50 to 59,1068811
netherlands,2002,Female,60 to 69,727537
netherlands,2002,Female,70 to 79,593353
netherlands,2002,Female,80 to 89,330794
netherlands,2002,Female,90 to 99,51731
netherlands,2002,Female,Overall,8141702
netherlands,2002,Male,0 to 9,974564.5
netherlands,2002,Male,10 to 19,1001913
netherlands,2002,Male,100 and over,0
netherlands,2002,Male,20 to 29,1007836.5
netherlands,2002,Male,30 to 39,1333341.5
netherlands,2002,Male,40 to 49,1237955.5
netherlands,2002,Male,50 to 59,1099447.5
netherlands,2002,Male,60 to 69,704463
netherlands,2002,Male,70 to 79,451671.5
netherlands,2002,Male,80 to 89,164327.5
netherlands,2002,Male,90 to 99,15264
netherlands,2002,Male,Overall,7990784.5
netherlands,2003,Both,0 to 9,1907726.5
netherlands,2003,Both,10 to 19,1977575.5
netherlands,2003,Both,100 and over,0
netherlands,2003,Both,20 to 29,1973221.5
netherlands,2003,Both,30 to 39,2572576
netherlands,2003,Both,40 to 49,2480580
netherlands,2003,Both,50 to 59,2204954
netherlands,2003,Both,60 to 69,1468215
netherlands,2003,Both,70 to 79,1047390
netherlands,2003,Both,80 to 89,507643.5
netherlands,2003,Both,90 to 99,68631.5
netherlands,2003,Both,Overall,16208513.5
netherlands,2003,Female,0 to 9,931528.5
netherlands,2003,Female,10 to 19,965220
netherlands,2003,Female,100 and over,0
netherlands,2003,Female,20 to 29,977472.5
netherlands,2003,Female,30 to 39,1267505
netherlands,2003,Female,40 to 49,1225718.5
netherlands,2003,Female,50 to 59,1088398.5
netherlands,2003,Female,60 to 69,743353
netherlands,2003,Female,70 to 79,591253
netherlands,2003,Female,80 to 89,337539
netherlands,2003,Female,90 to 99,52819
netherlands,2003,Female,Overall,8180807
netherlands,2003,Male,0 to 9,976198
netherlands,2003,Male,10 to 19,1012355.5
netherlands,2003,Male,100 and over,0
netherlands,2003,Male,20 to 29,995749
netherlands,2003,Male,30 to 39,1305071
netherlands,2003,Male,40 to 49,1254861.5
netherlands,2003,Male,50 to 59,1116555.5
netherlands,2003,Male,60 to 69,724862
netherlands,2003,Male,70 to 79,456137
netherlands,2003,Male,80 to 89,170104.5
netherlands,2003,Male,90 to 99,15812.5
netherlands,2003,Male,Overall,8027706.5
netherlands,2004,Both,0 to 9,1903133
netherlands,2004,Both,10 to 19,1989058.5
netherlands,2004,Both,100 and over,0
netherlands,2004,Both,20 to 29,1959354
netherlands,2004,Both,30 to 39,2509200
netherlands,2004,Both,40 to 49,2513956.5
netherlands,2004,Both,50 to 59,2234337
netherlands,2004,Both,60 to 69,1511010.5
netherlands,2004,Both,70 to 79,1054563
netherlands,2004,Both,80 to 89,519205.5
netherlands,2004,Both,90 to 99,70634.5
netherlands,2004,Both,Overall,16264452.5
netherlands,2004,Female,0 to 9,929235
netherlands,2004,Female,10 to 19,971770
netherlands,2004,Female,100 and over,0
netherlands,2004,Female,20 to 29,971287.5
netherlands,2004,Female,30 to 39,1240070
netherlands,2004,Female,40 to 49,1242661
netherlands,2004,Female,50 to 59,1104263.5
netherlands,2004,Female,60 to 69,762984.5
netherlands,2004,Female,70 to 79,591124.5
netherlands,2004,Female,80 to 89,343975.5
netherlands,2004,Female,90 to 99,54157
netherlands,2004,Female,Overall,8211528.5
netherlands,2004,Male,0 to 9,973898
netherlands,2004,Male,10 to 19,1017288.5
netherlands,2004,Male,100 and over,0
netherlands,2004,Male,20 to 29,988066.5
netherlands,2004,Male,30 to 39,1269130
netherlands,2004,Male,40 to 49,1271295.5
netherlands,2004,Male,50 to 59,1130073.5
netherlands,2004,Male,60 to 69,748026
netherlands,2004,Male,70 to 79,463438.5
netherlands,2004,Male,80 to 89,175230
netherlands,2004,Male,90 to 99,16477.5
netherlands,2004,Male,Overall,8052924
netherlands,2005,Both,0 to 9,1895513.5
netherlands,2005,Both,10 to 19,1989511.5
netherlands,2005,Both,100 and over,0
netherlands,2005,Both,20 to 29,1955080
netherlands,2005,Both,30 to 39,2438118
netherlands,2005,Both,40 to 49,2269404
netherlands,2005,Both,50 to 59,2274235
netherlands,2005,Both,60 to 69,1543781.5
netherlands,2005,Both,70 to 79,1064354.5
netherlands,2005,Both,80 to 89,531253.5
netherlands,2005,Both,90 to 99,71962.5
netherlands,2005,Both,Overall,16033214
netherlands,2005,Female,0 to 9,925651
netherlands,2005,Female,10 to 19,972287
netherlands,2005,Female,100 and over,0
netherlands,2005,Female,20 to 29,970023.5
netherlands,2005,Female,30 to 39,1209013
netherlands,2005,Female,40 to 49,1254275.5
netherlands,2005,Female,50 to 59,1125956.5
netherlands,2005,Female,60 to 69,778178.5
netherlands,2005,Female,70 to 79,592645
netherlands,2005,Female,80 to 89,350227
netherlands,2005,Female,90 to 99,55115
netherlands,2005,Female,Overall,8233372
netherlands,2005,Male,0 to 9,969862.5
netherlands,2005,Male,10 to 19,1017224.5
netherlands,2005,Male,100 and over,0
netherlands,2005,Male,20 to 29,985056.5
netherlands,2005,Male,30 to 39,1229105
netherlands,2005,Male,40 to 49,1283860.5
netherlands,2005,Male,50 to 59,1148278.5
netherlands,2005,Male,60 to 69,765603
netherlands,2005,Male,70 to 79,471709.5
netherlands,2005,Male,80 to 89,181026.5
netherlands,2005,Male,90 to 99,16847.5
netherlands,2005,Male,Overall,8068574
netherlands,2006,Both,0 to 9,1883110.5
netherlands,2006,Both,10 to 19,1984737
netherlands,2006,Both,100 and over,0
netherlands,2006,Both,20 to 29,1954907
netherlands,2006,Both,30 to 39,2099598
netherlands,2006,Both,40 to 49,2551110.5
netherlands,2006,Both,50 to 59,2250087.5
netherlands,2006,Both,60 to 69,1641768.5
netherlands,2006,Both,70 to 79,1076313
netherlands,2006,Both,80 to 89,543633.5
netherlands,2006,Both,90 to 99,73241.5
netherlands,2006,Both,Overall,16058507
netherlands,2006,Female,0 to 9,920119
netherlands,2006,Female,10 to 19,969150
netherlands,2006,Female,100 and over,0
netherlands,2006,Female,20 to 29,970873.5
netherlands,2006,Female,30 to 39,1177493.5
netherlands,2006,Female,40 to 49,1261455.5
netherlands,2006,Female,50 to 59,1115574.5
netherlands,2006,Female,60 to 69,825538.5
netherlands,2006,Female,70 to 79,595459.5
netherlands,2006,Female,80 to 89,356208.5
netherlands,2006,Female,90 to 99,56058.5
netherlands,2006,Female,Overall,8247931
