region,year,sex,age_gr,population
geneve,2000,Both,0 to 9,42074
geneve,2000,Both,10 to 19,41878
geneve,2000,Both,100 and over,180
geneve,2000,Both,20 to 29,50937
geneve,2000,Both,30 to 39,68459
geneve,2000,Both,40 to 49,60105
geneve,2000,Both,50 to 59,56580
geneve,2000,Both,60 to 69,38489
geneve,2000,Both,70 to 79,27139
geneve,2000,Both,80 to 89,13583
geneve,2000,Both,90 to 99,3643
geneve,2000,Both,Overall,403067
geneve,2000,Female,0 to 9,20608
geneve,2000,Female,10 to 19,20437
geneve,2000,Female,100 and over,147
geneve,2000,Female,20 to 29,26070
geneve,2000,Female,30 to 39,35306
geneve,2000,Female,40 to 49,30765
geneve,2000,Female,50 to 59,29697
geneve,2000,Female,60 to 69,20263
geneve,2000,Female,70 to 79,15949
geneve,2000,Female,80 to 89,9127
geneve,2000,Female,90 to 99,2784
geneve,2000,Female,Overall,211153
geneve,2000,Male,0 to 9,21466
geneve,2000,Male,10 to 19,21441
geneve,2000,Male,100 and over,33
geneve,2000,Male,20 to 29,24867
geneve,2000,Male,30 to 39,33153
geneve,2000,Male,40 to 49,29340
geneve,2000,Male,50 to 59,26883
geneve,2000,Male,60 to 69,18226
geneve,2000,Male,70 to 79,11190
geneve,2000,Male,80 to 89,4456
geneve,2000,Male,90 to 99,859
geneve,2000,Male,Overall,191914
geneve,2001,Both,0 to 9,41386
geneve,2001,Both,10 to 19,43225
geneve,2001,Both,100 and over,193
geneve,2001,Both,20 to 29,51381
geneve,2001,Both,30 to 39,69125
geneve,2001,Both,40 to 49,61413
geneve,2001,Both,50 to 59,56516
geneve,2001,Both,60 to 69,39289
geneve,2001,Both,70 to 79,27685
geneve,2001,Both,80 to 89,14193
geneve,2001,Both,90 to 99,3740
geneve,2001,Both,Overall,408146
geneve,2001,Female,0 to 9,20227
geneve,2001,Female,10 to 19,21092
geneve,2001,Female,100 and over,165
geneve,2001,Female,20 to 29,26294
geneve,2001,Female,30 to 39,35764
geneve,2001,Female,40 to 49,31368
geneve,2001,Female,50 to 59,29612
geneve,2001,Female,60 to 69,20715
geneve,2001,Female,70 to 79,16185
geneve,2001,Female,80 to 89,9463
geneve,2001,Female,90 to 99,2852
geneve,2001,Female,Overall,213737
geneve,2001,Male,0 to 9,21159
geneve,2001,Male,10 to 19,22133
geneve,2001,Male,100 and over,28
geneve,2001,Male,20 to 29,25087
geneve,2001,Male,30 to 39,33361
geneve,2001,Male,40 to 49,30045
geneve,2001,Male,50 to 59,26904
geneve,2001,Male,60 to 69,18574
geneve,2001,Male,70 to 79,11500
geneve,2001,Male,80 to 89,4730
geneve,2001,Male,90 to 99,888
geneve,2001,Male,Overall,194409
geneve,2002,Both,0 to 9,41639
geneve,2002,Both,10 to 19,44444
geneve,2002,Both,100 and over,211
geneve,2002,Both,20 to 29,51517
geneve,2002,Both,30 to 39,69920
geneve,2002,Both,40 to 49,63187
geneve,2002,Both,50 to 59,56349
geneve,2002,Both,60 to 69,40223
geneve,2002,Both,70 to 79,27917
geneve,2002,Both,80 to 89,14442
geneve,2002,Both,90 to 99,3769
geneve,2002,Both,Overall,413618
geneve,2002,Female,0 to 9,20305
geneve,2002,Female,10 to 19,21721
geneve,2002,Female,100 and over,174
geneve,2002,Female,20 to 29,26446
geneve,2002,Female,30 to 39,36101
geneve,2002,Female,40 to 49,32258
geneve,2002,Female,50 to 59,29477
geneve,2002,Female,60 to 69,21273
geneve,2002,Female,70 to 79,16201
geneve,2002,Female,80 to 89,9592
geneve,2002,Female,90 to 99,2901
geneve,2002,Female,Overall,216449
geneve,2002,Male,0 to 9,21334
geneve,2002,Male,10 to 19,22723
geneve,2002,Male,100 and over,37
geneve,2002,Male,20 to 29,25071
geneve,2002,Male,30 to 39,33819
geneve,2002,Male,40 to 49,30929
geneve,2002,Male,50 to 59,26872
geneve,2002,Male,60 to 69,18950
geneve,2002,Male,70 to 79,11716
geneve,2002,Male,80 to 89,4850
geneve,2002,Male,90 to 99,868
geneve,2002,Male,Overall,197169
geneve,2003,Both,0 to 9,41860
geneve,2003,Both,10 to 19,45548
geneve,2003,Both,100 and over,211
geneve,2003,Both,20 to 29,51809
geneve,2003,Both,30 to 39,69916
geneve,2003,Both,40 to 49,64969
geneve,2003,Both,50 to 59,56163
geneve,2003,Both,60 to 69,41294
geneve,2003,Both,70 to 79,28337
geneve,2003,Both,80 to 89,14815
geneve,2003,Both,90 to 99,3825
geneve,2003,Both,Overall,418747
geneve,2003,Female,0 to 9,20402
geneve,2003,Female,10 to 19,22259
geneve,2003,Female,100 and over,175
geneve,2003,Female,20 to 29,26558
geneve,2003,Female,30 to 39,36095
geneve,2003,Female,40 to 49,33031
geneve,2003,Female,50 to 59,29366
geneve,2003,Female,60 to 69,21846
geneve,2003,Female,70 to 79,16439
geneve,2003,Female,80 to 89,9737
geneve,2003,Female,90 to 99,2932
geneve,2003,Female,Overall,218840
geneve,2003,Male,0 to 9,21458
geneve,2003,Male,10 to 19,23289
geneve,2003,Male,100 and over,36
geneve,2003,Male,20 to 29,25251
geneve,2003,Male,30 to 39,33821
geneve,2003,Male,40 to 49,31938
geneve,2003,Male,50 to 59,26797
geneve,2003,Male,60 to 69,19448
geneve,2003,Male,70 to 79,11898
geneve,2003,Male,80 to 89,5078
geneve,2003,Male,90 to 99,893
geneve,2003,Male,Overall,199907
geneve,2004,Both,0 to 9,41928
geneve,2004,Both,10 to 19,46589
geneve,2004,Both,100 and over,209
geneve,2004,Both,20 to 29,52430
geneve,2004,Both,30 to 39,69924
geneve,2004,Both,40 to 49,67028
geneve,2004,Both,50 to 59,55737
geneve,2004,Both,60 to 69,42523
geneve,2004,Both,70 to 79,28605
geneve,2004,Both,80 to 89,15126
geneve,2004,Both,90 to 99,3894
geneve,2004,Both,Overall,423993
geneve,2004,Female,0 to 9,20417
geneve,2004,Female,10 to 19,22776
geneve,2004,Female,100 and over,177
geneve,2004,Female,20 to 29,26893
geneve,2004,Female,30 to 39,36051
geneve,2004,Female,40 to 49,34025
geneve,2004,Female,50 to 59,29154
geneve,2004,Female,60 to 69,22542
geneve,2004,Female,70 to 79,16495
geneve,2004,Female,80 to 89,9895
geneve,2004,Female,90 to 99,2970
geneve,2004,Female,Overall,221395
geneve,2004,Male,0 to 9,21511
geneve,2004,Male,10 to 19,23813
geneve,2004,Male,100 and over,32
geneve,2004,Male,20 to 29,25537
geneve,2004,Male,30 to 39,33873
geneve,2004,Male,40 to 49,33003
geneve,2004,Male,50 to 59,26583
geneve,2004,Male,60 to 69,19981
geneve,2004,Male,70 to 79,12110
geneve,2004,Male,80 to 89,5231
geneve,2004,Male,90 to 99,924
geneve,2004,Male,Overall,202598
geneve,2005,Both,0 to 9,42015
geneve,2005,Both,10 to 19,47559
geneve,2005,Both,100 and over,243
geneve,2005,Both,20 to 29,52465
geneve,2005,Both,30 to 39,69113
geneve,2005,Both,40 to 49,68483
geneve,2005,Both,50 to 59,55472
geneve,2005,Both,60 to 69,43506
geneve,2005,Both,70 to 79,29006
geneve,2005,Both,80 to 89,15659
geneve,2005,Both,90 to 99,3875
geneve,2005,Both,Overall,427396
geneve,2005,Female,0 to 9,20462
geneve,2005,Female,10 to 19,23214
geneve,2005,Female,100 and over,199
geneve,2005,Female,20 to 29,26853
geneve,2005,Female,30 to 39,35761
geneve,2005,Female,40 to 49,34767
geneve,2005,Female,50 to 59,28946
geneve,2005,Female,60 to 69,23099
geneve,2005,Female,70 to 79,16623
geneve,2005,Female,80 to 89,10170
geneve,2005,Female,90 to 99,2942
geneve,2005,Female,Overall,223036
geneve,2005,Male,0 to 9,21553
geneve,2005,Male,10 to 19,24345
geneve,2005,Male,100 and over,44
geneve,2005,Male,20 to 29,25612
geneve,2005,Male,30 to 39,33352
geneve,2005,Male,40 to 49,33716
geneve,2005,Male,50 to 59,26526
geneve,2005,Male,60 to 69,20407
geneve,2005,Male,70 to 79,12383
geneve,2005,Male,80 to 89,5489
geneve,2005,Male,90 to 99,933
geneve,2005,Male,Overall,204360
geneve,2006,Both,0 to 9,41876
geneve,2006,Both,10 to 19,48554
geneve,2006,Both,100 and over,250
geneve,2006,Both,20 to 29,52180
geneve,2006,Both,30 to 39,68530
geneve,2006,Both,40 to 49,69891
geneve,2006,Both,50 to 59,55348
geneve,2006,Both,60 to 69,44581
geneve,2006,Both,70 to 79,29446
geneve,2006,Both,80 to 89,16154
geneve,2006,Both,90 to 99,3828
geneve,2006,Both,Overall,430638
geneve,2006,Female,0 to 9,20487
geneve,2006,Female,10 to 19,23708
geneve,2006,Female,100 and over,206
geneve,2006,Female,20 to 29,26648
geneve,2006,Female,30 to 39,35475
geneve,2006,Female,40 to 49,35536
geneve,2006,Female,50 to 59,28755
geneve,2006,Female,60 to 69,23735
geneve,2006,Female,70 to 79,16724
geneve,2006,Female,80 to 89,10471
geneve,2006,Female,90 to 99,2883
geneve,2006,Female,Overall,224628
geneve,2006,Male,0 to 9,21389
geneve,2006,Male,10 to 19,24846
geneve,2006,Male,100 and over,44
geneve,2006,Male,20 to 29,25532
geneve,2006,Male,30 to 39,33055
geneve,2006,Male,40 to 49,34355
geneve,2006,Male,50 to 59,26593
geneve,2006,Male,60 to 69,20846
geneve,2006,Male,70 to 79,12722
geneve,2006,Male,80 to 89,5683
geneve,2006,Male,90 to 99,945
geneve,2006,Male,Overall,206010
geneve,2007,Both,0 to 9,41857
geneve,2007,Both,10 to 19,49194
geneve,2007,Both,100 and over,261
geneve,2007,Both,20 to 29,52349
geneve,2007,Both,30 to 39,68063
geneve,2007,Both,40 to 49,70566
geneve,2007,Both,50 to 59,55141
geneve,2007,Both,60 to 69,45518
geneve,2007,Both,70 to 79,29786
geneve,2007,Both,80 to 89,16708
geneve,2007,Both,90 to 99,3792
geneve,2007,Both,Overall,433235
geneve,2007,Female,0 to 9,20501
geneve,2007,Female,10 to 19,23901
geneve,2007,Female,100 and over,222
geneve,2007,Female,20 to 29,26884
geneve,2007,Female,30 to 39,35179
geneve,2007,Female,40 to 49,35845
geneve,2007,Female,50 to 59,28512
geneve,2007,Female,60 to 69,24297
geneve,2007,Female,70 to 79,16842
geneve,2007,Female,80 to 89,10803
geneve,2007,Female,90 to 99,2845
geneve,2007,Female,Overall,225831
geneve,2007,Male,0 to 9,21356
geneve,2007,Male,10 to 19,25293
geneve,2007,Male,100 and over,39
geneve,2007,Male,20 to 29,25465
geneve,2007,Male,30 to 39,32884
geneve,2007,Male,40 to 49,34721
geneve,2007,Male,50 to 59,26629
geneve,2007,Male,60 to 69,21221
geneve,2007,Male,70 to 79,12944
geneve,2007,Male,80 to 89,5905
geneve,2007,Male,90 to 99,947
geneve,2007,Male,Overall,207404
geneve,2008,Both,0 to 9,42325
geneve,2008,Both,10 to 19,49784
geneve,2008,Both,100 and over,264
geneve,2008,Both,20 to 29,53115
geneve,2008,Both,30 to 39,68442
geneve,2008,Both,40 to 49,71517
geneve,2008,Both,50 to 59,55245
geneve,2008,Both,60 to 69,46228
geneve,2008,Both,70 to 79,30196
geneve,2008,Both,80 to 89,17310
geneve,2008,Both,90 to 99,3751
geneve,2008,Both,Overall,438177
geneve,2008,Female,0 to 9,20732
geneve,2008,Female,10 to 19,24156
geneve,2008,Female,100 and over,223
geneve,2008,Female,20 to 29,27131
geneve,2008,Female,30 to 39,35275
geneve,2008,Female,40 to 49,36372
geneve,2008,Female,50 to 59,28386
geneve,2008,Female,60 to 69,24728
geneve,2008,Female,70 to 79,17047
geneve,2008,Female,80 to 89,11088
geneve,2008,Female,90 to 99,2814
geneve,2008,Female,Overall,227952
geneve,2008,Male,0 to 9,21593
geneve,2008,Male,10 to 19,25628
geneve,2008,Male,100 and over,41
geneve,2008,Male,20 to 29,25984
geneve,2008,Male,30 to 39,33167
geneve,2008,Male,40 to 49,35145
geneve,2008,Male,50 to 59,26859
geneve,2008,Male,60 to 69,21500
geneve,2008,Male,70 to 79,13149
geneve,2008,Male,80 to 89,6222
geneve,2008,Male,90 to 99,937
geneve,2008,Male,Overall,210225
geneve,2009,Both,0 to 9,42775
geneve,2009,Both,10 to 19,50354
geneve,2009,Both,100 and over,295
geneve,2009,Both,20 to 29,55007
geneve,2009,Both,30 to 39,69863
geneve,2009,Both,40 to 49,72408
geneve,2009,Both,50 to 59,56436
geneve,2009,Both,60 to 69,46699
geneve,2009,Both,70 to 79,30588
geneve,2009,Both,80 to 89,17860
geneve,2009,Both,90 to 99,3821
geneve,2009,Both,Overall,446106
geneve,2009,Female,0 to 9,21028
geneve,2009,Female,10 to 19,24439
geneve,2009,Female,100 and over,249
geneve,2009,Female,20 to 29,27904
geneve,2009,Female,30 to 39,35817
geneve,2009,Female,40 to 49,36869
geneve,2009,Female,50 to 59,28871
geneve,2009,Female,60 to 69,24982
geneve,2009,Female,70 to 79,17231
geneve,2009,Female,80 to 89,11398
geneve,2009,Female,90 to 99,2866
geneve,2009,Female,Overall,231654
geneve,2009,Male,0 to 9,21747
geneve,2009,Male,10 to 19,25915
geneve,2009,Male,100 and over,46
geneve,2009,Male,20 to 29,27103
geneve,2009,Male,30 to 39,34046
geneve,2009,Male,40 to 49,35539
geneve,2009,Male,50 to 59,27565
geneve,2009,Male,60 to 69,21717
geneve,2009,Male,70 to 79,13357
geneve,2009,Male,80 to 89,6462
geneve,2009,Male,90 to 99,955
geneve,2009,Male,Overall,214452
geneve,2010,Both,0 to 9,42926
geneve,2010,Both,10 to 19,50925
geneve,2010,Both,100 and over,305
geneve,2010,Both,20 to 29,56573
geneve,2010,Both,30 to 39,70728
geneve,2010,Both,40 to 49,73392
geneve,2010,Both,50 to 59,57789
geneve,2010,Both,60 to 69,47309
geneve,2010,Both,70 to 79,30921
geneve,2010,Both,80 to 89,18331
geneve,2010,Both,90 to 99,4093
geneve,2010,Both,Overall,453292
geneve,2010,Female,0 to 9,21097
geneve,2010,Female,10 to 19,24787
geneve,2010,Female,100 and over,256
geneve,2010,Female,20 to 29,28541
geneve,2010,Female,30 to 39,36201
geneve,2010,Female,40 to 49,37515
geneve,2010,Female,50 to 59,29394
geneve,2010,Female,60 to 69,25306
geneve,2010,Female,70 to 79,17313
geneve,2010,Female,80 to 89,11660
geneve,2010,Female,90 to 99,3041
geneve,2010,Female,Overall,235111
geneve,2010,Male,0 to 9,21829
geneve,2010,Male,10 to 19,26138
geneve,2010,Male,100 and over,49
geneve,2010,Male,20 to 29,28032
geneve,2010,Male,30 to 39,34527
geneve,2010,Male,40 to 49,35877
geneve,2010,Male,50 to 59,28395
geneve,2010,Male,60 to 69,22003
geneve,2010,Male,70 to 79,13608
geneve,2010,Male,80 to 89,6671
geneve,2010,Male,90 to 99,1052
geneve,2010,Male,Overall,218181
geneve,2011,Both,0 to 9,43395
geneve,2011,Both,10 to 19,50744
geneve,2011,Both,100 and over,295
geneve,2011,Both,20 to 29,57983
geneve,2011,Both,30 to 39,71248
geneve,2011,Both,40 to 49,73570
geneve,2011,Both,50 to 59,58977
geneve,2011,Both,60 to 69,47206
geneve,2011,Both,70 to 79,31464
geneve,2011,Both,80 to 89,18509
geneve,2011,Both,90 to 99,4324
geneve,2011,Both,Overall,457715
geneve,2011,Female,0 to 9,21304
geneve,2011,Female,10 to 19,24704
geneve,2011,Female,100 and over,245
geneve,2011,Female,20 to 29,29093
geneve,2011,Female,30 to 39,36358
geneve,2011,Female,40 to 49,37572
geneve,2011,Female,50 to 59,29886
geneve,2011,Female,60 to 69,25210
geneve,2011,Female,70 to 79,17620
geneve,2011,Female,80 to 89,11774
geneve,2011,Female,90 to 99,3164
geneve,2011,Female,Overall,236930
geneve,2011,Male,0 to 9,22091
geneve,2011,Male,10 to 19,26040
geneve,2011,Male,100 and over,50
geneve,2011,Male,20 to 29,28890
geneve,2011,Male,30 to 39,34890
geneve,2011,Male,40 to 49,35998
geneve,2011,Male,50 to 59,29091
geneve,2011,Male,60 to 69,21996
geneve,2011,Male,70 to 79,13844
geneve,2011,Male,80 to 89,6735
geneve,2011,Male,90 to 99,1160
geneve,2011,Male,Overall,220785
geneve,2012,Both,0 to 9,43602
geneve,2012,Both,10 to 19,50495
geneve,2012,Both,100 and over,298
geneve,2012,Both,20 to 29,58437
geneve,2012,Both,30 to 39,70963
geneve,2012,Both,40 to 49,73673
geneve,2012,Both,50 to 59,60276
geneve,2012,Both,60 to 69,46920
geneve,2012,Both,70 to 79,32375
geneve,2012,Both,80 to 89,18964
geneve,2012,Both,90 to 99,4531
geneve,2012,Both,Overall,460534
geneve,2012,Female,0 to 9,21431
geneve,2012,Female,10 to 19,24547
geneve,2012,Female,100 and over,244
geneve,2012,Female,20 to 29,29337
geneve,2012,Female,30 to 39,36310
geneve,2012,Female,40 to 49,37490
geneve,2012,Female,50 to 59,30570
geneve,2012,Female,60 to 69,25031
geneve,2012,Female,70 to 79,18156
geneve,2012,Female,80 to 89,11938
geneve,2012,Female,90 to 99,3301
geneve,2012,Female,Overall,238355
geneve,2012,Male,0 to 9,22171
geneve,2012,Male,10 to 19,25948
geneve,2012,Male,100 and over,54
geneve,2012,Male,20 to 29,29100
geneve,2012,Male,30 to 39,34653
geneve,2012,Male,40 to 49,36183
geneve,2012,Male,50 to 59,29706
geneve,2012,Male,60 to 69,21889
geneve,2012,Male,70 to 79,14219
geneve,2012,Male,80 to 89,7026
geneve,2012,Male,90 to 99,1230
geneve,2012,Male,Overall,222179
geneve,2013,Both,0 to 9,43734
geneve,2013,Both,10 to 19,49784
geneve,2013,Both,100 and over,309
geneve,2013,Both,20 to 29,59101
geneve,2013,Both,30 to 39,70821
geneve,2013,Both,40 to 49,73302
geneve,2013,Both,50 to 59,61997
geneve,2013,Both,60 to 69,46745
geneve,2013,Both,70 to 79,33227
geneve,2013,Both,80 to 89,19294
geneve,2013,Both,90 to 99,4787
geneve,2013,Both,Overall,463101
geneve,2013,Female,0 to 9,21401
geneve,2013,Female,10 to 19,24347
geneve,2013,Female,100 and over,254
geneve,2013,Female,20 to 29,29554
geneve,2013,Female,30 to 39,36144
geneve,2013,Female,40 to 49,37257
geneve,2013,Female,50 to 59,31340
geneve,2013,Female,60 to 69,24924
geneve,2013,Female,70 to 79,18586
geneve,2013,Female,80 to 89,12072
geneve,2013,Female,90 to 99,3485
geneve,2013,Female,Overall,239364
geneve,2013,Male,0 to 9,22333
geneve,2013,Male,10 to 19,25437
geneve,2013,Male,100 and over,55
geneve,2013,Male,20 to 29,29547
geneve,2013,Male,30 to 39,34677
geneve,2013,Male,40 to 49,36045
geneve,2013,Male,50 to 59,30657
geneve,2013,Male,60 to 69,21821
geneve,2013,Male,70 to 79,14641
geneve,2013,Male,80 to 89,7222
geneve,2013,Male,90 to 99,1302
geneve,2013,Male,Overall,223737
geneve,2014,Both,0 to 9,44190
geneve,2014,Both,10 to 19,50134
geneve,2014,Both,100 and over,293
geneve,2014,Both,20 to 29,60118
geneve,2014,Both,30 to 39,71207
geneve,2014,Both,40 to 49,73427
geneve,2014,Both,50 to 59,64383
geneve,2014,Both,60 to 69,46599
geneve,2014,Both,70 to 79,34411
geneve,2014,Both,80 to 89,19732
geneve,2014,Both,90 to 99,4939
geneve,2014,Both,Overall,469433
geneve,2014,Female,0 to 9,21528
geneve,2014,Female,10 to 19,24590
geneve,2014,Female,100 and over,236
geneve,2014,Female,20 to 29,30135
geneve,2014,Female,30 to 39,36286
geneve,2014,Female,40 to 49,37248
geneve,2014,Female,50 to 59,32520
