region,year,sex,age_gr,population
netherlands,2000,Both,0 to 9,1985161
netherlands,2000,Both,10 to 19,1887847
netherlands,2000,Both,100 and over,0
netherlands,2000,Both,20 to 29,2132157
netherlands,2000,Both,30 to 39,2629347
netherlands,2000,Both,40 to 49,2348772
netherlands,2000,Both,50 to 59,2004772
netherlands,2000,Both,60 to 69,1367932
netherlands,2000,Both,70 to 79,1007623
netherlands,2000,Both,80 to 89,431543
netherlands,2000,Both,90 to 99,68796
netherlands,2000,Both,Overall,15863950
netherlands,2000,Both,Overall,31727900
netherlands,2000,Female,0 to 9,969121
netherlands,2000,Female,10 to 19,922593
netherlands,2000,Female,100 and over,0
netherlands,2000,Female,20 to 29,1054140
netherlands,2000,Female,30 to 39,1288145
netherlands,2000,Female,40 to 49,1158982
netherlands,2000,Female,50 to 59,986383
netherlands,2000,Female,60 to 69,704660
netherlands,2000,Female,70 to 79,584624
netherlands,2000,Female,80 to 89,294784
netherlands,2000,Female,90 to 99,54201
netherlands,2000,Female,Overall,8017633
netherlands,2000,Female,Overall,16035266
netherlands,2000,Male,0 to 9,1016040
netherlands,2000,Male,10 to 19,965254
netherlands,2000,Male,100 and over,0
netherlands,2000,Male,20 to 29,1078017
netherlands,2000,Male,30 to 39,1341202
netherlands,2000,Male,40 to 49,1189790
netherlands,2000,Male,50 to 59,1018389
netherlands,2000,Male,60 to 69,663272
netherlands,2000,Male,70 to 79,422999
netherlands,2000,Male,80 to 89,136759
netherlands,2000,Male,90 to 99,14595
netherlands,2000,Male,Overall,7846317
netherlands,2000,Male,Overall,15692634
netherlands,2001,Both,0 to 9,1996913
netherlands,2001,Both,10 to 19,1911140
netherlands,2001,Both,100 and over,0
netherlands,2001,Both,20 to 29,2081512
netherlands,2001,Both,30 to 39,2645592
netherlands,2001,Both,40 to 49,2377995
netherlands,2001,Both,50 to 59,2056871
netherlands,2001,Both,60 to 69,1386386
netherlands,2001,Both,70 to 79,1014029
netherlands,2001,Both,80 to 89,446307
netherlands,2001,Both,90 to 99,70330
netherlands,2001,Both,Overall,15987075
netherlands,2001,Both,Overall,31974150
netherlands,2001,Female,0 to 9,975272
netherlands,2001,Female,10 to 19,933252
netherlands,2001,Female,100 and over,0
netherlands,2001,Female,20 to 29,1030469
netherlands,2001,Female,30 to 39,1296750
netherlands,2001,Female,40 to 49,1173955
netherlands,2001,Female,50 to 59,1012467
netherlands,2001,Female,60 to 69,711375
netherlands,2001,Female,70 to 79,585102
netherlands,2001,Female,80 to 89,303110
netherlands,2001,Female,90 to 99,55468
netherlands,2001,Female,Overall,8077220
netherlands,2001,Female,Overall,16154440
netherlands,2001,Male,0 to 9,1021641
netherlands,2001,Male,10 to 19,977888
netherlands,2001,Male,100 and over,0
netherlands,2001,Male,20 to 29,1051043
netherlands,2001,Male,30 to 39,1348842
netherlands,2001,Male,40 to 49,1204040
netherlands,2001,Male,50 to 59,1044404
netherlands,2001,Male,60 to 69,675011
netherlands,2001,Male,70 to 79,428927
netherlands,2001,Male,80 to 89,143197
netherlands,2001,Male,90 to 99,14862
netherlands,2001,Male,Overall,7909855
netherlands,2001,Male,Overall,15819710
netherlands,2002,Both,0 to 9,2003860
netherlands,2002,Both,10 to 19,1936776
netherlands,2002,Both,100 and over,0
netherlands,2002,Both,20 to 29,2042450
netherlands,2002,Both,30 to 39,2643277
netherlands,2002,Both,40 to 49,2414942
netherlands,2002,Both,50 to 59,2110583
netherlands,2002,Both,60 to 69,1402524
netherlands,2002,Both,70 to 79,1019266
netherlands,2002,Both,80 to 89,460231
netherlands,2002,Both,90 to 99,71376
netherlands,2002,Both,Overall,16105285
netherlands,2002,Both,Overall,32210570
netherlands,2002,Female,0 to 9,978533
netherlands,2002,Female,10 to 19,945023
netherlands,2002,Female,100 and over,0
netherlands,2002,Female,20 to 29,1012010
netherlands,2002,Female,30 to 39,1296457
netherlands,2002,Female,40 to 49,1192848
