region,year,sex,age_gr,population
norway,2000,Both,0 to 9,610157
norway,2000,Both,10 to 19,554093
norway,2000,Both,100 and over,0
norway,2000,Both,20 to 29,606409
norway,2000,Both,30 to 39,682084
norway,2000,Both,40 to 49,623629
norway,2000,Both,50 to 59,548433
norway,2000,Both,60 to 69,352067
norway,2000,Both,70 to 79,320637
norway,2000,Both,80 to 89,167904
norway,2000,Both,90 to 99,25558
norway,2000,Both,Overall,4490971
norway,2000,Female,0 to 9,296739
norway,2000,Female,10 to 19,270135
norway,2000,Female,100 and over,0
norway,2000,Female,20 to 29,298809
norway,2000,Female,30 to 39,333156
norway,2000,Female,40 to 49,305838
norway,2000,Female,50 to 59,269714
norway,2000,Female,60 to 69,181978
norway,2000,Female,70 to 79,181301
norway,2000,Female,80 to 89,109778
norway,2000,Female,90 to 99,19301
norway,2000,Female,Overall,2266749
norway,2000,Male,0 to 9,313418
norway,2000,Male,10 to 19,283958
norway,2000,Male,100 and over,0
norway,2000,Male,20 to 29,307600
norway,2000,Male,30 to 39,348928
norway,2000,Male,40 to 49,317791
norway,2000,Male,50 to 59,278719
norway,2000,Male,60 to 69,170089
norway,2000,Male,70 to 79,139336
norway,2000,Male,80 to 89,58126
norway,2000,Male,90 to 99,6257
norway,2000,Male,Overall,2224222
norway,2001,Both,0 to 9,606777
norway,2001,Both,10 to 19,564672
norway,2001,Both,100 and over,0
norway,2001,Both,20 to 29,594860
norway,2001,Both,30 to 39,688070
norway,2001,Both,40 to 49,627678
norway,2001,Both,50 to 59,564417
norway,2001,Both,60 to 69,353946
norway,2001,Both,70 to 79,314156
norway,2001,Both,80 to 89,172768
norway,2001,Both,90 to 99,26413
norway,2001,Both,Overall,4513757
norway,2001,Female,0 to 9,295143
norway,2001,Female,10 to 19,275068
norway,2001,Female,100 and over,0
norway,2001,Female,20 to 29,293135
norway,2001,Female,30 to 39,336458
norway,2001,Female,40 to 49,308136
norway,2001,Female,50 to 59,277269
norway,2001,Female,60 to 69,182444
norway,2001,Female,70 to 79,176816
norway,2001,Female,80 to 89,112731
norway,2001,Female,90 to 99,19936
norway,2001,Female,Overall,2277136
norway,2001,Male,0 to 9,311634
norway,2001,Male,10 to 19,289604
norway,2001,Male,100 and over,0
norway,2001,Male,20 to 29,301725
norway,2001,Male,30 to 39,351612
norway,2001,Male,40 to 49,319542
norway,2001,Male,50 to 59,287148
norway,2001,Male,60 to 69,171502
norway,2001,Male,70 to 79,137340
norway,2001,Male,80 to 89,60037
norway,2001,Male,90 to 99,6477
norway,2001,Male,Overall,2236621
norway,2002,Both,0 to 9,602785
norway,2002,Both,10 to 19,575671
norway,2002,Both,100 and over,0
norway,2002,Both,20 to 29,584071
norway,2002,Both,30 to 39,694188
norway,2002,Both,40 to 49,632389
norway,2002,Both,50 to 59,578945
norway,2002,Both,60 to 69,358342
norway,2002,Both,70 to 79,308511
norway,2002,Both,80 to 89,176027
norway,2002,Both,90 to 99,27235
norway,2002,Both,Overall,4538164
norway,2002,Female,0 to 9,293550
norway,2002,Female,10 to 19,280113
norway,2002,Female,100 and over,0
norway,2002,Female,20 to 29,288297
norway,2002,Female,30 to 39,340057
norway,2002,Female,40 to 49,310691
norway,2002,Female,50 to 59,284147
norway,2002,Female,60 to 69,184194
norway,2002,Female,70 to 79,172876
norway,2002,Female,80 to 89,114666
norway,2002,Female,90 to 99,20550
norway,2002,Female,Overall,2289141
norway,2002,Male,0 to 9,309235
norway,2002,Male,10 to 19,295558
norway,2002,Male,100 and over,0
norway,2002,Male,20 to 29,295774
norway,2002,Male,30 to 39,354131
norway,2002,Male,40 to 49,321698
norway,2002,Male,50 to 59,294798
norway,2002,Male,60 to 69,174148
norway,2002,Male,70 to 79,135635
norway,2002,Male,80 to 89,61361
norway,2002,Male,90 to 99,6685
norway,2002,Male,Overall,2249023
norway,2003,Both,0 to 9,599812
norway,2003,Both,10 to 19,586572
norway,2003,Both,100 and over,0
norway,2003,Both,20 to 29,575284
norway,2003,Both,30 to 39,697885
norway,2003,Both,40 to 49,636805
norway,2003,Both,50 to 59,590453
norway,2003,Both,60 to 69,368442
norway,2003,Both,70 to 79,302483
norway,2003,Both,80 to 89,179033
norway,2003,Both,90 to 99,28093
norway,2003,Both,Overall,4564862
norway,2003,Female,0 to 9,292377
norway,2003,Female,10 to 19,285410
norway,2003,Female,100 and over,0
norway,2003,Female,20 to 29,284309
norway,2003,Female,30 to 39,342375
norway,2003,Female,40 to 49,312997
norway,2003,Female,50 to 59,289888
norway,2003,Female,60 to 69,188827
norway,2003,Female,70 to 79,168672
norway,2003,Female,80 to 89,116243
norway,2003,Female,90 to 99,21183
norway,2003,Female,Overall,2302281
norway,2003,Male,0 to 9,307435
norway,2003,Male,10 to 19,301162
norway,2003,Male,100 and over,0
norway,2003,Male,20 to 29,290975
norway,2003,Male,30 to 39,355510
norway,2003,Male,40 to 49,323808
norway,2003,Male,50 to 59,300565
norway,2003,Male,60 to 69,179615
